repo_name,function_name,table_name,column_name,file_name
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,LAST_DATE_OF_SUPPORT,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,MEU_ALLOWED_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,OPERATION_CODE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,PARENT_INSTANCE_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,QUANTITY,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,RENEWAL_ELIGIBLE_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,SERIAL_NUMBER,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,SERVICE_LINE_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,SERVICE_LINE_NAME,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,SERVICE_LIST_PRICE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,SFC_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,SHIP_DATE,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_DATA,VERIFICATION_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_HDR,COVERED_MAJOR_BILL_TO,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_HDR,CREATED_BY,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_HDR,ENGAGEMENT_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_HDR,ENGAGEMENT_NUMBER,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_HDR,ENGAGEMENT_OUTCOME,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,BV_MCE_AM_ENGAGEMENT_HDR,LAST_UPDATED_BY,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_HR_ALL_ORGANIZATION_UNITS,ATTRIBUTE26,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_HR_ALL_ORGANIZATION_UNITS,EDWSF_SOURCE_DELETED_FLAG,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_HR_ALL_ORGANIZATION_UNITS,NAME,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_HR_ALL_ORGANIZATION_UNITS,ORGANIZATION_ID,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_XXCCS_DS_CVDPRDLINE_DETAIL,CLE_ID_RENEWED,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_XXCCS_DS_CVDPRDLINE_DETAIL,CLE_ID_RENEWED_TO,MCE-src.py
act-mce-src-and-prep,extract_mce_core_data,CSF_XXCCS_DS_CVDPRDLINE_DETAIL,CONTRACT_ID,MCE-src.py
